date;layers;eggs_produced;feed_used;feed_price;feed_cost;eggs_sold;price_per_egg;revenue;notes
20 04 2026;870;801;120.0;35.0;4200.0;790;4.0;3160.0;
21 04 2026;870;800;120.0;35.0;4200.0;620;4.0;2480.0;
22 04 2026;870;730;120.0;35.0;4200.0;505;4.0;2020.0;
23 04 2026;870;698;120.0;35.0;4200.0;310;4.0;1240.0;Changed feed brand
24 04 2026;850;800;120.0;35.0;4200.0;412;4.0;1648.0;
26 04 2026;850;800;120.0;35.0;4200.0;710;4.0;4.0;
27 04 2026;820;720;120.0;35.0;4200.0;500;4.0;4.0;Routine operation and curling
29 04 2026;820;712;110.0;35.0;3850.0;529;4.0;2116.0;
30 04 2026;820;734;110.0;35.0;3850.0;700;4.0;2800.0;
25 04 2026;820;719;110.0;35.0;3850.0;615;4.0;2460.0;
01 02 2026;1000;800;150.0;35.0;5250.0;700;3.0;2100.0;Healthy flock
02 02 2026;1000;840;150.0;35.0;5250.0;810;3.0;2430.0;Healthy flock
03 02 2026;1000;820;150.0;35.0;5250.0;811;3.0;2433.0;
04 02 2026;1000;789;150.0;3.0;450.0;650;3.0;1950.0;
05 02 2026;1000;790;150.0;35.0;5250.0;690;3.0;2070.0;No issues
06 02 2026;1000;829;150.0;35.0;5250.0;800;3.0;2400.0;No issues
07 02 2026;1000;902;150.0;35.0;5250.0;900;3.0;2700.0;
08 02 2026;1000;930;150.0;35.0;5250.0;910;3.0;2730.0;
09 02 2026;1000;950;150.0;35.0;5250.0;882;3.0;2646.0;
10 02 2026;1000;953;150.0;35.0;5250.0;933;3.0;2799.0;
11 02 2026;1000;901;150.0;35.0;1225.0;35;3.0;3.0;
12 02 2026;1000;604;150.0;35.0;5250.0;604;3.0;1812.0;Cleaned poultry house, Routine operation and culling
13 02 2026;1000;700;150.0;35.0;5250.0;700;3.0;2100.0;Cold morning
14 02 2026;1000;790;150.0;35.0;5250.0;780;3.0;2340.0;
15 02 2026;1000;840;150.0;35.0;5250.0;840;3.0;2520.0;
16 02 2026;1000;890;150.0;35.0;5250.0;890;3.0;2670.0;
17 02 2026;1000;820;150.0;35.0;5250.0;800;3.0;2400.0;
18 02 2026;1000;940;150.0;35.0;5250.0;900;3.0;2700.0;
19 02 2026;1000;960;150.0;35.0;5250.0;950;3.0;2850.0;
20 02 2026;985;910;150.0;35.0;5250.0;900;3.0;2700.0;
21 02 2026;985;900;150.0;35.0;5250.0;900;3.0;2700.0;
22 02 2026;985;900;150.0;35.0;5250.0;880;3.0;2640.0;
23 02 2026;985;880;150.0;35.0;5250.0;800;3.0;2400.0;
24 02 2026;985;710;150.0;35.0;5250.0;700;3.0;2100.0;
25 02 2026;985;720;150.0;35.0;5250.0;720;3.0;2160.0;
26 02 2026;985;639;150.0;35.0;5250.0;639;3.0;1917.0;
27 02 2026;980;520;150.0;35.0;5250.0;520;3.0;1560.0;
28 02 2026;980;481;150.0;35.0;5250.0;481;3.0;1443.0;
01 03 2026;980;620;150.0;35.0;5250.0;620;3.0;1860.0;
02 03 2026;950;490;150.0;35.0;5250.0;490;3.0;1470.0;
03 03 2026;950;580;150.0;35.0;5250.0;580;3.0;1740.0;
04 03 2026;950;700;150.0;35.0;5250.0;700;3.0;2100.0;
05 03 2026;950;750;150.0;35.0;5250.0;750;3.0;2250.0;
06 03 2026;950;760;150.0;35.0;5250.0;760;3.0;2280.0;
07 03 2026;950;800;150.0;35.0;5250.0;800;3.0;2400.0;
08 03 2026;950;860;150.0;35.0;5250.0;860;3.0;2580.0;
09 03 2026;950;710;150.0;35.0;5250.0;710;3.0;2130.0;
10 03 2026;930;680;130.0;35.0;4550.0;680;3.0;2040.0;
12 03 2026;930;500;150.0;35.0;5250.0;500;3.0;1500.0;
13 03 2026;930;579;130.0;35.0;4550.0;579;3.0;1737.0;
14 03 2026;930;420;130.0;35.0;4550.0;420;3.0;1260.0;
15 03 2026;930;660;130.0;35.0;4550.0;660;3.0;1980.0;New feed brand
16 03 2026;930;700;130.0;35.0;4550.0;700;3.0;2100.0;
17 03 2026;930;787;130.0;35.0;4550.0;787;3.0;2361.0;
18 03 2026;930;830;130.0;35.0;4550.0;800;3.0;2400.0;
19 03 2026;930;809;130.0;35.0;4550.0;790;3.0;2370.0;
20 03 2026;900;788;110.0;35.0;3850.0;788;3.0;2364.0;
21 03 2026;900;850;110.0;35.0;3850.0;850;3.0;2550.0;
22 03 2026;900;800;110.0;35.0;3850.0;800;3.0;2400.0;
23 03 2026;900;780;110.0;35.0;3850.0;780;3.0;2340.0;
24 03 2026;900;810;110.0;35.0;3850.0;810;3.0;2430.0;
25 03 2026;900;729;110.0;35.0;3850.0;729;3.0;2187.0;
26 03 2026;900;700;110.0;35.0;3850.0;700;3.0;2100.0;
27 03 2026;900;670;110.0;35.0;3850.0;670;3.0;2010.0;
28 03 2026;880;638;110.0;35.0;3850.0;638;3.0;1914.0;
29 03 2026;880;699;110.0;35.0;3850.0;699;3.0;2097.0;
30 03 2026;880;490;110.0;35.0;3850.0;490;3.0;1470.0;
31 03 2026;880;610;110.0;35.0;3850.0;610;3.0;1830.0;
01 04 2026;880;690;100.0;35.0;3500.0;690;3.0;2070.0;
02 04 2026;880;710;100.0;35.0;3500.0;710;3.0;2130.0;
03 04 2026;880;618;100.0;35.0;3500.0;618;3.0;1854.0;
04 04 2026;880;786;100.0;35.0;3500.0;786;3.0;2358.0;
